GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
89890	2.02e-12	1.16e-16	0.3627	8.2873588	3.0059278	641.64	KBTBD6	kelch repeat and BTB domain containing 6
4756	1.04e-11	1.19e-15	0.2566	8.0052397	2.0538832	210.95	NEO1	neogenin 1
55852	7.00e-11	1.21e-14	0.3123	7.7154676	2.4092381	814.06	TEX2	testis expressed 2
7809	1.61e-10	4.63e-14	0.5554	7.5420578	4.1887379	13.93	BSND	barttin CLCNK type accessory subunit beta
55536	1.61e-10	4.10e-14	0.3398	7.557784	2.5682877	659	CDCA7L	cell division cycle associated 7 like
94081	2.86e-10	1.14e-13	0.2245	7.4234602	1.6666435	686.67	SFXN1	sideroflexin 1
100130698	2.86e-10	1.15e-13	0.6206	7.4226869	4.6066034	47.75	LOC100130698	uncharacterized LOC100130698
10161	7.37e-09	3.38e-12	0.2377	-6.9608479	-1.6548737	2101.02	LPAR6	lysophosphatidic acid receptor 6
10252	7.71e-08	3.98e-11	0.449	6.604869	2.9653105	62.28	SPRY1	sprouty RTK signaling antagonist 1
4317	1.58e-06	9.04e-10	0.7333	6.1255079	4.4917244	10998.39	MMP8	matrix metallopeptidase 8
342510	1.59e-06	1.01e-09	0.2505	-6.1085218	-1.5299597	4126.67	CD300E	CD300e molecule
55137	2.49e-06	1.72e-09	0.7872	6.0226021	4.7412918	34.48	FIGN	fidgetin, microtubule severing factor
7380	2.66e-06	1.98e-09	0.6575	-5.9991362	-3.944627	37.38	UPK3A	uroplakin 3A
54438	3.62e-06	2.92e-09	0.2869	5.9358901	1.7030372	409.97	GFOD1	glucose-fructose oxidoreductase domain containing 1
63898	3.62e-06	3.12e-09	0.6312	5.9253292	3.7400408	56.72	SH2D4A	SH2 domain containing 4A
8444	4.80e-06	4.50e-09	0.3717	5.8647049	2.1798086	27.32	DYRK3	dual specificity tyrosine phosphorylation regulated kinase 3
1902	4.80e-06	4.68e-09	0.3024	-5.858063	-1.7716003	136.06	LPAR1	lysophosphatidic acid receptor 1
102724246	4.87e-06	5.03e-09	0.533	-5.8463174	-3.1158896	24.42	TTC39C-AS1	TTC39C antisense RNA 1
28595	9.62e-06	1.05e-08	0.4845	-5.7227514	-2.7727992	40.3	TRBV7-3	T cell receptor beta variable 7-3
2205	1.54e-05	1.77e-08	0.7687	-5.6333746	-4.3304987	311.48	FCER1A	Fc epsilon receptor Ia
929	1.59e-05	1.92e-08	0.3265	-5.6194036	-1.8345715	5404.21	CD14	CD14 molecule
106480429	1.76e-05	2.23e-08	0.6539	-5.5933567	-3.657601	218.31	HLA-DQB1-AS1	HLA-DQB1 antisense RNA 1
27036	2.02e-05	2.67e-08	0.2355	-5.5617978	-1.3096309	636.44	SIGLEC7	sialic acid binding Ig like lectin 7
6708	2.08e-05	2.97e-08	0.5634	5.5431243	3.1229262	39.69	SPTA1	spectrin alpha, erythrocytic 1
105374903	2.08e-05	3.05e-08	0.6186	5.5387596	3.42633	7.92	LOC105374903	uncharacterized LOC105374903
28394	2.08e-05	3.10e-08	1.0051	5.5359545	5.5639604	1306.44	IGHV4-39	immunoglobulin heavy variable 4-39
440603	2.25e-05	3.49e-08	0.6266	5.5148121	3.4555422	224.58	BCL2L15	BCL2 like 15
100506714	2.45e-05	3.94e-08	0.2428	-5.4937194	-1.3338415	454.55	NUP50-DT	NUP50 divergent transcript
80307	2.57e-05	4.27e-08	0.7352	5.4792494	4.028618	52.25	FER1L4	fer-1 like family member 4 (pseudogene)
80856	2.73e-05	4.70e-08	0.2987	5.4623098	1.6315815	851.7	LNPK	lunapark, ER junction formation factor
7088	2.81e-05	5.14e-08	0.2806	5.446424	1.5284801	158.33	TLE1	TLE family member 1, transcriptional corepressor
342125	2.81e-05	5.15e-08	0.5293	5.4459438	2.8825515	7.61	TMC3	transmembrane channel like 3
3643	3.24e-05	6.14e-08	0.2578	5.4145703	1.3961307	411.02	INSR	insulin receptor
6382	3.26e-05	6.36e-08	0.8201	5.4084209	4.4356134	59.31	SDC1	syndecan 1
943	3.62e-05	7.36e-08	0.333	-5.3822437	-1.7921678	318.01	TNFRSF8	TNF receptor superfamily member 8
3149	3.62e-05	7.47e-08	0.3279	5.3795197	1.7639511	158.89	HMGB3	high mobility group box 3
4118	3.80e-05	8.29e-08	0.3227	-5.3606949	-1.7300781	138.27	MAL	mal, T cell differentiation protein
10224	3.80e-05	8.27e-08	0.3513	5.3612408	1.8834877	186.1	ZNF443	zinc finger protein 443
28558	4.85e-05	1.09e-07	0.4826	-5.3117677	-2.5633383	62.76	TRBV29-1	T cell receptor beta variable 29-1
